"{17.0,16.0->1.7}"
"{24.0,21.0->4.8}"
"{24.0,21.0->5.0}"
"{15.0,10.0->3.8}"
"{15.0,10.0->3.9}"
"{15.0,10.0->4.1}"
"{17.0,16.0->2.8}"
"{17.0,16.0->3.5}"
"{17.0,16.0->3.7}"
"{35.0,0.0->2.9}"
"{17.0,15.0->2.9}"
"{19.0,15.0->2.9}"
"{20.0,19.0->2.9}"
"{22.0,19.0->2.9}"
"{23.0,21.0->2.9}"
"{24.0,23.0->2.9}"
"{29.0,28.0->2.9}"
"{30.0,29.0->2.9}"
"{32.0,30.0->2.9}"
"{15.0,10.0->3.0}"
"{23.0,18.0->3.0}"
"{29.0,29.0->3.1}"
"{15.0,6.0->3.2}"
"{29.0,27.0->3.2}"
"{15.0,14.0->3.3}"
"{22.0,11.0->3.5}"
"{23.0,22.0->3.5}"
